Date,Twitter_ID,User_Name,Followers,Tweet,Link,Favourites,Retweets
2019-08-16 20:01:05,frances_okolo,Frances Okolo,17,"#Nigeria #Tableau #VisOfTheDay #Maps

Goodnight", https://t.co/8SuyWPii2V,0,0
2019-08-16 18:05:04,infolabUK,The Information Lab,7529,"#TableauTip 💡
How to save time 🕒 on default properties of measures: https://t.co/6VWYSYiFiM

#Tableau #DataViz", https://t.co/O8hA7cGlPh,1,2
2019-08-16 17:59:54,ByStefCaldwell,Stef Caldwell,5,"There are people that walk into your life and unexpectedly change the way you think permanently.  
@elissafink is t…", https://t.co/UWBdjJsWdX,0,0
2019-08-16 17:57:33,YEMGunter,Yolanda Gunter,1832,This happened last night w @lelienmusic after the @generalassembly Intro to Data Analytics class at @wework 🛴 @lime…, https://t.co/9HJAoKe6uW,1,0
2019-08-16 17:52:41,craigbloodworth,Craig Bloodworth,5596,"It's Desktop, no it's Prep, no! It's The Hyper Lab!!! (actually it's my submission for the #tableau #datadev Virtua…", https://t.co/0IZRyBJY3g,9,0
2019-08-16 17:49:11,bostontug,@BostonTUG,185,"This week's #TableauFF comes from Biddeford Maine, The Aristotle of #Tableau, Jonathan Drummey. @jonathandrummey  .…", https://t.co/g3ch7evUOY,5,0
2019-08-16 17:40:27,elliekmason,Ellie Mason,381,"Thanks for the feature @tableaupublic!

❄️🌎🌬

 #tableau #spatialdata", https://t.co/w1kh831dhg,4,1
2019-08-16 17:30:15,infocaptor,InfoCaptor,13297,"Web based #Tableau alternative that does beautiful #visualizations, stunning #dashboards, lifts #bigdata and is che…", https://t.co/7nMHOT8yzq,2,2
2019-08-16 17:30:05,interworks,InterWorks,6345,Raphael shares a practical #usecase for #ParameterActions in #Tableau. See how he applies this new feature to swapp…, https://t.co/EbUPzxvgnM,0,1
2019-08-16 16:42:09,Ci_Li_Images,@ci.li.images,65,"#tableau , loving the angles in this. Getting that vintage @InterviewMag feel. Love that #magazine it has definitel…", https://t.co/h5hpIuYDmX,0,1
2019-08-16 16:37:45,couponfree01,Coupon Free,1914,Udemy Free Discount - Complete predictive modeling &amp; app building bootcamp #udemycoupon -&gt; https://t.co/IF01DrDvFS…, https://t.co/RzudYp3NMr,2,3
2019-08-16 16:35:56,AdamMico1,Adam Mico,164,Yeet as the kids say. This viz got the trending #tableau hashtag notification on LinkedIn! Feel free to connect wit…, https://t.co/RGPyXzzYfT,0,1
2019-08-16 16:25:28,machbase,MACHBASE,71,#Energy #Bigdata project. MachBase was able to load 3 years of data collection of IoT Gateway and various data sour…, https://t.co/qeWhXhLlla,1,4
2019-08-16 16:23:19,callmedeeray,Desireé Abbott,448,@srdennett @data_jackalope @DataDavidDeluxe @MarkBradbourne @YetterDataViz @FredrickNajjar @mcconnellj (1) If it's…, https://t.co/fRkYPIfAh3,5,0
2019-08-16 16:15:04,interworks,InterWorks,6345,Maintain network security and privacy without sacrificing performance or convenience. Matthew walks through multi-t…, https://t.co/ilEGEloaKA,0,0
2019-08-16 15:44:18,nadia_newnew,Nadia,111,Stardust 🌟. #art #Artiste  #tableau #peinture #colorful #instagood ##acrylicpainting #newartist #newart…, https://t.co/lceRikqIjd,0,1
