InstrumentType,Symbol,ExpiryDate,OptionType,Strike Price,LastPrice,Chng,%Chng,Volume (Contracts,Value (lakh),OpenInterest,Underlying Value
Index Options,BANKNIFTY,18-Feb-2021,Call,"38,000.00",172.55,-24.45,-12.41,"4,07,426","26,037.33","48,182","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Put,"37,000.00",316.75,2.25,0.72,"3,82,190","26,093.43","35,876","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Call,"37,500.00",337.70,-34.65,-9.31,"2,63,506","30,307.28","38,253","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Put,"36,500.00",165.15,-7.20,-4.18,"2,40,866","8,585.44","36,854","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Call,"38,500.00",80.55,-13.05,-13.94,"2,31,011","7,712.68","32,066","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Call,"39,000.00",38.35,-10.20,-21.01,"2,30,912","3,834.68","31,902","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Put,"37,500.00",558.05,34.25,6.54,"2,05,792","23,565.35","16,883","37,267.60"
Index Options,NIFTY,18-Feb-2021,Call,"15,400.00",87.35,26.05,42.50,"1,96,245","13,588.74","38,782","15,387.20"
Index Options,NIFTY,18-Feb-2021,Call,"15,500.00",42.45,13.20,45.13,"1,70,400","5,991.42","38,484","15,387.20"
Index Options,BANKNIFTY,18-Feb-2021,Put,"36,000.00",83.55,-8.20,-8.94,"1,68,272","2,937.27","40,380","37,267.60"
Index Options,NIFTY,18-Feb-2021,Put,"15,300.00",54.45,-29.35,-35.02,"1,56,980","6,426.13","34,753","15,387.20"
Index Options,BANKNIFTY,18-Feb-2021,Call,"37,600.00",297.80,-32.40,-9.81,"1,50,555","15,761.53","14,976","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Call,"37,700.00",261.10,-18.40,-6.58,"1,49,713","14,066.95","17,150","37,267.60"
Index Options,NIFTY,18-Feb-2021,Put,"15,400.00",91.20,-43.35,-32.22,"1,49,048","10,100.58","24,050","15,387.20"
Index Options,BANKNIFTY,18-Feb-2021,Call,"37,800.00",228.60,-22.90,-9.11,"1,36,353","11,211.93","14,572","37,267.60"
Index Options,NIFTY,18-Feb-2021,Call,"15,600.00",16.35,4.25,35.12,"1,28,441","1,795.12","36,140","15,387.20"
Index Options,BANKNIFTY,18-Feb-2021,Put,"37,300.00",450.95,16.85,3.88,"1,24,104","12,196.68","9,844","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Put,"35,500.00",44.60,-6.80,-13.23,"1,20,162","1,096.13","29,708","37,267.60"
Index Options,BANKNIFTY,18-Feb-2021,Put,"35,000.00",26.80,-4.90,-15.46,"1,19,379",669.75,"35,695","37,267.60"
Index Options,NIFTY,18-Feb-2021,Put,"15,200.00",31.80,-18.75,-37.09,"1,09,502","2,655.93","38,479","15,387.20"
